Item,Function,Quantity,Description,PartNumber,Vendor
1,CONNECTOR,4,CONN HOUSING 5POS .100 W/LATCH,WM2903-ND,digikey
2,CONNECTOR,20,CONN SOCKET 24-30AWG CRIMP 30AU,WM2572-ND,digikey
3,SWITCH,4,SWITCH SLOTTED OPTICAL WIDE GAP,365-1935-ND,digikey
4,CABLE,4,CABLE MOLDED RG58/U 24in,290-1010-ND,digikey
